
2024/03/13 (21:11:20) | INFO: Running on /dev/pts/0
2024/03/13 (21:11:20) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/03/13 (21:11:20) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory

2024/03/13 (22:16:56) | ===> btop++ v.1.3.2
2024/03/13 (22:16:56) | INFO: Logger set to INFO
2024/03/13 (22:16:56) | INFO: Running on /dev/pts/0
2024/03/13 (22:16:56) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/03/13 (22:16:56) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/03/13 (22:17:00) | INFO: Quitting! Runtime: 00:00:04

2024/03/13 (22:27:31) | ===> btop++ v.1.3.2
2024/03/13 (22:27:31) | INFO: Logger set to INFO
2024/03/13 (22:27:31) | INFO: Running on /dev/pts/3
2024/03/13 (22:27:31) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/03/13 (22:27:31) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/03/13 (22:27:43) | INFO: Quitting! Runtime: 00:00:12

2024/03/14 (01:30:03) | ===> btop++ v.1.3.2
2024/03/14 (01:30:03) | INFO: Logger set to INFO
2024/03/14 (01:30:03) | INFO: Running on /dev/pts/4
2024/03/14 (01:30:03) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/03/14 (01:30:03) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory

2024/03/14 (01:33:05) | ===> btop++ v.1.3.2
2024/03/14 (01:33:05) | INFO: Logger set to INFO
2024/03/14 (01:33:05) | INFO: Running on /dev/pts/3
2024/03/14 (01:33:05) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/03/14 (01:33:05) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/03/14 (01:34:16) | INFO: Quitting! Runtime: 00:01:11

2024/03/14 (11:21:13) | ===> btop++ v.1.3.2
2024/03/14 (11:21:13) | INFO: Logger set to INFO
2024/03/14 (11:21:13) | INFO: Running on /dev/pts/4
2024/03/14 (11:21:13) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/03/14 (11:21:13) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory

2024/03/14 (12:09:12) | ===> btop++ v.1.3.2
2024/03/14 (12:09:12) | INFO: Logger set to INFO
2024/03/14 (12:09:12) | INFO: Running on /dev/pts/9
2024/03/14 (12:09:12) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/03/14 (12:09:12) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory

2024/03/14 (18:03:17) | ===> btop++ v.1.3.2
2024/03/14 (18:03:17) | INFO: Logger set to INFO
2024/03/14 (18:03:17) | INFO: Running on /dev/pts/0
2024/03/14 (18:03:17) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/03/14 (18:03:17) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/03/14 (18:03:49) | INFO: Quitting! Runtime: 00:00:32

2024/03/14 (18:04:06) | ===> btop++ v.1.3.2
2024/03/14 (18:04:06) | INFO: Logger set to INFO
2024/03/14 (18:04:06) | INFO: Running on /dev/pts/0
2024/03/14 (18:04:06) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/03/14 (18:04:06) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory

2024/03/14 (19:43:39) | ===> btop++ v.1.3.2
2024/03/14 (19:43:39) | INFO: Logger set to INFO
2024/03/14 (19:43:39) | INFO: Running on /dev/pts/4
2024/03/14 (19:43:39) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/03/14 (19:43:39) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory

2024/03/14 (19:55:48) | ===> btop++ v.1.3.2
2024/03/14 (19:55:48) | INFO: Logger set to INFO
2024/03/14 (19:55:48) | INFO: Running on /dev/pts/9
2024/03/14 (19:55:48) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/03/14 (19:55:48) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory

2024/03/14 (19:56:13) | ===> btop++ v.1.3.2
2024/03/14 (19:56:13) | INFO: Logger set to INFO
2024/03/14 (19:56:13) | INFO: Running on /dev/pts/9
2024/03/14 (19:56:13) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/03/14 (19:56:13) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory

2024/03/14 (19:56:53) | ===> btop++ v.1.3.2
2024/03/14 (19:56:53) | INFO: Logger set to INFO
2024/03/14 (19:56:53) | INFO: Running on /dev/pts/8
2024/03/14 (19:56:53) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/03/14 (19:56:53) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory

2024/03/14 (20:12:13) | ===> btop++ v.1.3.2
2024/03/14 (20:12:13) | INFO: Logger set to INFO
2024/03/14 (20:12:13) | INFO: Running on /dev/pts/4
2024/03/14 (20:12:13) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/03/14 (20:12:13) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory

2024/03/14 (20:13:59) | ===> btop++ v.1.3.2
2024/03/14 (20:13:59) | INFO: Logger set to INFO
2024/03/14 (20:13:59) | INFO: Running on /dev/pts/9
2024/03/14 (20:13:59) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/03/14 (20:13:59) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory

2024/03/14 (22:28:20) | ===> btop++ v.1.3.2
2024/03/14 (22:28:20) | INFO: Logger set to INFO
2024/03/14 (22:28:20) | INFO: Running on /dev/pts/4
2024/03/14 (22:28:20) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/03/14 (22:28:20) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory

2024/03/14 (22:56:33) | ===> btop++ v.1.3.2
2024/03/14 (22:56:33) | INFO: Logger set to INFO
2024/03/14 (22:56:33) | INFO: Running on /dev/pts/9
2024/03/14 (22:56:33) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/03/14 (22:56:33) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory

2024/03/14 (22:56:42) | ===> btop++ v.1.3.2
2024/03/14 (22:56:42) | INFO: Logger set to INFO
2024/03/14 (22:56:42) | INFO: Running on /dev/pts/9
2024/03/14 (22:56:42) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/03/14 (22:56:42) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory

2024/03/14 (22:56:58) | ===> btop++ v.1.3.2
2024/03/14 (22:56:58) | INFO: Logger set to INFO
2024/03/14 (22:56:58) | INFO: Running on /dev/pts/9
2024/03/14 (22:56:58) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/03/14 (22:56:58) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory

2024/03/14 (22:57:04) | ===> btop++ v.1.3.2
2024/03/14 (22:57:04) | INFO: Logger set to INFO
2024/03/14 (22:57:04) | INFO: Running on /dev/pts/9
2024/03/14 (22:57:04) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/03/14 (22:57:04) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory

2024/03/14 (22:58:13) | ===> btop++ v.1.3.2
2024/03/14 (22:58:13) | INFO: Logger set to INFO
2024/03/14 (22:58:13) | INFO: Running on /dev/pts/9
2024/03/14 (22:58:13) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/03/14 (22:58:13) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory

2024/03/14 (22:58:59) | ===> btop++ v.1.3.2
2024/03/14 (22:58:59) | INFO: Logger set to INFO
2024/03/14 (22:58:59) | INFO: Running on /dev/pts/4
2024/03/14 (22:58:59) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/03/14 (22:58:59) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory

2024/03/15 (19:31:29) | ===> btop++ v.1.3.2
2024/03/15 (19:31:29) | INFO: Logger set to INFO
2024/03/15 (19:31:29) | INFO: Running on /dev/pts/4
2024/03/15 (19:31:29) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/03/15 (19:31:29) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory

2024/03/15 (20:45:29) | ===> btop++ v.1.3.2
2024/03/15 (20:45:29) | INFO: Logger set to INFO
2024/03/15 (20:45:29) | INFO: Running on /dev/pts/0
2024/03/15 (20:45:29) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/03/15 (20:45:29) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/03/15 (20:46:03) | INFO: Quitting! Runtime: 00:00:34

2024/03/15 (21:12:35) | ===> btop++ v.1.3.2
2024/03/15 (21:12:35) | INFO: Logger set to INFO
2024/03/15 (21:12:35) | INFO: Running on /dev/pts/1
2024/03/15 (21:12:35) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/03/15 (21:12:35) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory

2024/03/15 (21:12:47) | ===> btop++ v.1.3.2
2024/03/15 (21:12:47) | INFO: Logger set to INFO
2024/03/15 (21:12:47) | INFO: Running on /dev/pts/5
2024/03/15 (21:12:47) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/03/15 (21:12:47) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory

2024/03/15 (21:24:32) | ===> btop++ v.1.3.2
2024/03/15 (21:24:32) | INFO: Logger set to INFO
